,_latitude,_longitude,number_of_operators,number_of_available_trolleys,_title,_server_updated_at,_created_by,_updated_by,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,refrigerated_truck,type_of_cargo,departure_of_the_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
333,19.0223633,-98.2608733,2,1,"10 Boulevard Licenciado G. Díaz Ordaz
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:23 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,10:57,SC-1394-C,Sin registro,Delivery,Light truck or Van,no,"Dairy (milk, cheese, etc.)",11:10,Street - next to the curbside,yes,no,Rear,no,no,yes,no
334,19.022034,-98.2605816,2,0,"4B Boulevard Licenciado G. Díaz Ordaz
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:23 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,10:58,XL-6899-A,Sin registro,Delivery,Automobile,no,Produce (fruits & vegetables),11:36,Street - next to the curbside,yes,no,Rear,no,no,yes,yes
335,19.022007,-98.2605728,5,2,"1 Uc II
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:22 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,09:10,SN-77-820,Sin registro,Delivery,Automobile,no,"Bakery (bread, cookies, cakes, etc.)",14:00,Street - next to the curbside,no,no,Rear,no,no,no,no
336,19.0220533,-98.2604477,3,2,"4 Querubines
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:22 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,10:56,OPU-213,Sin registro,Delivery,Light truck or Van,no,"Non-alcoholic beverages (water, soda, etc.)",10:12,Street - next to the curbside,yes,no,Side,no,no,yes,no
337,19.059749,-98.2280428,2,0,"15 San Martín Texmelucan
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-09 23:58:28 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,09:15,No disponible ,No,Delivery,Light truck or Van,yes,"Nonfood,Produce (fruits & vegetables)",09:32,Street - next to the curbside,yes,no,Rear,no,no,no,no
338,19.0626148,-98.2346855,1,2,"130 Calle 55 Sur
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-09 23:58:28 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,09:00,Xx54116,Pepsi,Delivery,Heavy duty truck,no,"Non-alcoholic beverages (water, soda, etc.)",09:25,Street - next to the curbside,no,no,Side,no,no,no,no
339,19.0565655,-98.2320416,2,0,"23 Calle Oriental
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-09 23:58:27 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,08:55,SH61529,Astrett,Sales (usually small car or motorcycle),Pick-up,no,Nonfood,09:15,Store's garage,no,no,Rear,no,no,no,no
340,19.0578975,-98.2294284,2,0,"no. 85 Avenida Teziutlan Norte
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-09 23:58:26 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,08:01,22J 221,Lala,Delivery,Light truck or Van,yes,"Dairy (milk, cheese, etc.)",08:25,Public parking lot,no,no,Side,no,no,no,no
341,19.0703939264,-98.1646579877,2,0,"9005 Calle Sierra de Guadarrama
Puebla PUE 72220
MX",2022-11-09 23:19:15 UTC,Amaranta Hernández,Amaranta Hernández,12:00,SN-21-441,Sin registro,Delivery,Pick-up,no,"Alcoholic beverages (beer, liquor, etc.)",12:25,Street - next to the curbside,no,no,Rear,no,no,yes,no
342,19.0732125097,-98.168082498,2,2,"9013 Calle Sierra de los Pirineos
Puebla PUE 72220
MX",2022-11-09 23:19:14 UTC,Amaranta Hernández,Amaranta Hernández,11:00,XU-58-302,Pepsi ,Delivery,Heavy duty truck,no,"Non-alcoholic beverages (water, soda, etc.)",11:53,Street - next to the curbside,no,no,Side,no,no,no,no
343,19.0741106,-98.1736208,2,0,"60 Avenida Adolfo López Mateos
Heroica Puebla de Zaragoza Puebla 72210
México",2022-11-09 23:13:44 UTC,Benjamin Barbosa,Benjamin Barbosa,14:45,SN47814,CAMPRA,Delivery,Light truck or Van,yes,"Meat (beef, poultry, pork, seafood, etc.)",14:55,Street - next to the curbside,no,no,Rear,no,no,no,no
344,19.0744375,-98.1732126,1,0,"64 Calle Gustavo Díaz Ordaz
Heroica Puebla de Zaragoza Puebla 72210
México",2022-11-09 23:13:43 UTC,Benjamin Barbosa,Benjamin Barbosa,14:15,SM29511,DIAGONAL,Delivery,Heavy duty truck,no,Nonfood,14:39,Street - next to the curbside,no,no,Rear,no,no,no,no
345,19.0716791683,-98.1669184193,1,0,"9002 Avenida Montes Urales
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 23:13:42 UTC,Benjamin Barbosa,Benjamin Barbosa,09:39,LC41549,No,Delivery,Light truck or Van,no,"Abarrotes,Nonfood",09:42,Street - next to the curbside,no,no,Rear,no,no,no,no
346,19.0270377923,-98.2493552651,1,0,"502 Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72836
MX",2022-11-09 23:06:35 UTC,Juan Pablo Spínola,Juan Pablo Spínola,16:01,SP01196,Sin registro,Delivery,Pick-up,no,"Personal care (shampoo, soap, etc.)",16:09,Double lane,no,no,Rear,no,no,no,no
347,19.0719245551,-98.1667601887,1,0,"9002–9026 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 22:54:24 UTC,Pedro Contreras,Pedro Contreras,15:34,HB-1797-D,Sin registro,Delivery,Pick-up,no,Produce (fruits & vegetables),15:37,Street - next to the curbside,no,no,Side,no,no,no,no
348,19.0747741,-98.1674194,2,0,"2036 Pirineos
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:33 UTC,Alejandro Matias,Alejandro Matias,15:17,SL-51-096,Sin registro,Sales & delivery,Automobile,no,"Non-alcoholic beverages (water, soda, etc.)",15:17,Street - next to the curbside,no,no,Side,no,no,no,no
349,19.0726389,-98.1694718,1,0,"2013 Privada Sierra Tarahumara
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:32 UTC,Alejandro Matias,Alejandro Matias,15:04,SN-56-425,RojoTomate,Sales & delivery,Light truck or Van,yes,Produce (fruits & vegetables),15:10,Street - next to the curbside,no,no,Rear,yes,no,no,no
350,19.0746375,-98.1734403,1,0,"2013 Privada Sierra Tarahumara
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:32 UTC,Alejandro Matias,Alejandro Matias,13:50,SP-27-463,MiCaja,Delivery,Light truck or Van,no,Carton,14:38,Street - next to the curbside,no,no,Rear,no,no,no,no
351,19.0722369,-98.1673744,2,1,"2225 Cordillera Central
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:31 UTC,Alejandro Matias,Alejandro Matias,12:49,XV-58-304,Pepsi,Delivery,Heavy duty truck,no,"Non-alcoholic beverages (water, soda, etc.)",12:54,Street - next to the curbside,no,no,Side,no,no,no,no
352,19.0720063,-98.1666132,1,0,"9002b Avenida Montes Urales
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:31 UTC,Alejandro Matias,Alejandro Matias,12:37,SN-29-824,Sin registro,Delivery,Light truck or Van,no,Produce (fruits & vegetables),12:27,Street - next to the curbside,no,no,Rear,no,no,no,no
353,19.0251449542,-98.2490182389,2,2,"Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72835
MX",2022-11-09 22:22:20 UTC,Luis Lara,Luis Lara,16:12,SP-14-374,Pepsi ,Delivery,Light truck or Van,no,"Non-alcoholic beverages (water, soda, etc.)",16:21,Street - next to the curbside,no,no,Side,no,no,no,no
354,19.0721117517,-98.1653164377,1,0,"2417 Calle Cordillera de los Balcanes
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:33:20 UTC,Pedro Contreras,Pedro Contreras,15:29,K44-KYG,Sin registro,Delivery,Automobile,no,"Dairy (milk, cheese, etc.),Meat (beef, poultry, pork, seafood, etc.),Produce (fruits & vegetables)",15:32,Street - next to the curbside,no,no,Rear,no,no,no,no
355,19.0730388751,-98.1657873523,1,0,"9034–9054 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:28:01 UTC,Pedro Contreras,Pedro Contreras,15:23,SM-58-725,MADIASA-CAT,Sales & delivery,Pick-up,no,Wheels,15:24,Double lane,yes,no,Rear,no,no,no,no
356,19.0747634793,-98.1674315757,1,0,"2036 Privada Alpes
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:19:15 UTC,Pedro Contreras,Pedro Contreras,15:17,KZ-86-754,GUERRERAS,Sales & delivery,Light truck or Van,no,Tortilla ,15:20,Double lane,no,no,Rear,no,no,no,no
357,19.0728531297,-98.1695359843,1,0,"2002–2028 Privada Sierra Tarahumara
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:05:58 UTC,Pedro Contreras,Pedro Contreras,15:04,SN-22-290,Sin registro,Delivery,SUV,no,Nonfood,15:07,Street - next to the curbside,no,no,Rear,yes,no,no,no
358,19.0724586602,-98.1701053028,1,0,"Avenida Prolongación Tecnológico
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:03:58 UTC,Pedro Contreras,Pedro Contreras,15:01,SN-22-290,Sin registro,Sales & delivery,SUV,no,Nonfood,15:03,Street - next to the curbside,yes,no,Rear,no,no,no,no
359,19.0307618352,-98.2500988339,2,2,"11 Avenida Aquiles Serdán
San Bernardino Tlaxcalancingo PUE 72836
MX",2022-11-09 21:00:32 UTC,Luis Lara,Luis Lara,14:45,TME-046,Tecate ,Delivery,Heavy duty truck,no,"Alcoholic beverages (beer, liquor, etc.)",14:59,Street - next to the curbside,no,no,Rear,yes,no,no,no
360,19.0307312402,-98.2498263765,1,0,"2 Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72836
MX",2022-11-09 20:57:52 UTC,Juan Pablo Spínola,Juan Pablo Spínola,14:48,SP45032,Sin registro,Delivery,Light truck or Van,yes,Produce (fruits & vegetables),14:57,Store's garage,no,no,Rear,yes,no,no,no
361,19.014630192,-98.2210329083,1,1,"501 Avenida las Margaritas
Puebla de Zaragoza PUE 72450
MX",2022-11-09 20:52:03 UTC,Saúl Cuervo,Saúl Cuervo,13:50,RX-55-661,Bimbo,Delivery,Light truck or Van,no,"Bakery (bread, cookies, cakes, etc.)",14:15,Street - next to the curbside,no,no,Rear,no,no,no,yes
362,19.0747364535,-98.1744661668,2,0,"42 Avenida Adolfo López Mateos
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:44:48 UTC,Pedro Contreras,Pedro Contreras,14:41,TYR-35-52,Sin registro,Delivery,Light truck or Van,no,Produce (fruits & vegetables),16:00,Street - next to the curbside,no,no,Rear,no,no,no,no
363,19.0251680226,-98.2490972742,1,0,"164–1626 Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72835
MX",2022-11-09 20:43:23 UTC,Juan Pablo Spínola,Juan Pablo Spínola,14:29,SP29776,Gamesa,Delivery,Light truck or Van,no,"Bakery (bread, cookies, cakes, etc.)",14:35,Street - next to the curbside,no,no,Side,no,no,no,no
